name,category,calories,protein,fiber,vitamins,sugar,saturated_fat,sodium,season,tags
CHICKEN BREAST,"Poultry, Chicken & Turkey",0,1,1,5,7,1,1,四季,
CHICKEN BREAST,"Pepperoni, Salami & Cold Cuts",0,1,1,5,7,1,1,四季,
SALMON,Frozen Fish & Seafood,0,1,1,5,7,1,1,四季,
SALMON,Fish & Seafood,0,1,1,5,7,1,1,四季,
BEEF STEAK,Other Snacks,0,1,1,5,7,1,1,四季,
BEEF STEAK,Other Frozen Meats,0,1,1,5,7,1,1,四季,
"Pork, chop, center cut, raw",Pork Products,0,1,1,5,7,1,1,四季,
"HORMEL ALWAYS TENDER, Center Cut Chops, Fresh Pork",Pork Products,0,1,1,5,7,1,1,四季,
BROWN RICE,Rice,0,1,1,5,7,1,1,四季,
BROWN RICE,Rice,0,1,1,5,7,1,1,四季,
QUINOA,Other Grains & Seeds,0,1,1,5,7,1,1,四季,
QUINOA,Other Grains & Seeds,0,1,1,5,7,1,1,四季,
OATMEAL,Cereal,0,1,1,5,7,1,1,四季,
WHOLE WHEAT BREAD,Breads & Buns,0,1,1,5,7,1,1,四季,
WHOLE WHEAT BREAD,Breads & Buns,0,1,1,5,7,1,1,四季,
BROCCOLI,Frozen Vegetables,0,1,1,5,7,1,1,四季,
BROCCOLI,Pre-Packaged Fruit & Vegetables,0,1,1,5,7,1,1,四季,
SPINACH,Pre-Packaged Fruit & Vegetables,0,1,1,5,7,1,1,四季,
SPINACH,Pre-Packaged Fruit & Vegetables,0,1,1,5,7,1,1,四季,
TOMATO,Prepared Pasta & Pizza Sauces,0,1,1,5,7,1,1,四季,
TOMATO,Mexican Dinner Mixes,0,1,1,5,7,1,1,四季,
"Carrot, dehydrated",Vegetables and Vegetable Products,0,1,1,5,7,1,1,四季,
"Carrots, raw",Vegetables and Vegetable Products,0,1,1,5,7,1,1,四季,
"Cucumber, peeled, raw",Vegetables and Vegetable Products,0,1,1,5,7,1,1,四季,
"Cucumber, with peel, raw",Vegetables and Vegetable Products,0,1,1,5,7,1,1,四季,
APPLE,Pre-Packaged Fruit & Vegetables,0,1,1,5,7,1,1,四季,
APPLE,"Fruit & Vegetable Juice, Nectars & Fruit Drinks",0,1,1,5,7,1,1,四季,
BANANA,Nut & Seed Butters,0,1,1,5,7,1,1,四季,
BANANA,Wholesome Snacks,0,1,1,5,7,1,1,四季,
ORANGE,"Gelatin, Gels, Pectins & Desserts",0,1,1,5,7,1,1,四季,
"Marmalade, orange",Sweets,0,1,1,5,7,1,1,四季,
BLUEBERRY,"Jam, Jelly & Fruit Spreads",0,1,1,5,7,1,1,四季,
BLUEBERRY,"Croissants, Sweet Rolls, Muffins & Other Pastries",0,1,1,5,7,1,1,四季,
STRAWBERRY,"Jam, Jelly & Fruit Spreads",0,1,1,5,7,1,1,四季,
STRAWBERRY,Wholesome Snacks,0,1,1,5,7,1,1,四季,
EGG,Candy,0,1,1,5,7,1,1,四季,
EGG,Candy,0,1,1,5,7,1,1,四季,
MILK,Milk,0,1,1,5,7,1,1,四季,
MILK,Milk,0,1,1,5,7,1,1,四季,
GREEK YOGURT,"Popcorn, Peanuts, Seeds & Related Snacks",0,1,1,5,7,1,1,四季,
GREEK YOGURT,Yogurt,0,1,1,5,7,1,1,四季,
TOFU,Other Meats,0,1,1,5,7,1,1,四季,
TOFU,Other Meats,0,1,1,5,7,1,1,四季,
"Lentils, dry",Legumes and Legume Products,0,1,1,5,7,1,1,四季,
"Lentils, raw",Legumes and Legume Products,0,1,1,5,7,1,1,四季,
OLIVE OIL,Vegetable & Cooking Oils,0,1,1,5,7,1,1,四季,
OLIVE OIL,Vegetable & Cooking Oils,0,1,1,5,7,1,1,四季,
"Flour, almond",Nut and Seed Products,0,1,1,5,7,1,1,四季,
"Nuts, almonds",Nut and Seed Products,0,1,1,5,7,1,1,四季,
WALNUT,"Snack, Energy & Granola Bars",0,1,1,5,7,1,1,四季,
WALNUT,"Popcorn, Peanuts, Seeds & Related Snacks",0,1,1,5,7,1,1,四季,
