name,category,calories,protein,fiber,vitamins,sugar,saturated_fat,sodium,season,tags
糙米饭,主食,111,4,6,5,1,1,1,四季,"粗粮,低GI"
白米饭,主食,130,2,1,2,0,0,0,四季,主食
燕麦,主食,389,8,10,6,1,2,2,四季,"膳食纤维,早餐"
全麦面包,主食,250,6,7,5,4,1,4,四季,"早餐,低脂"
红薯,主食,86,1,3,7,4,0,1,秋季,"粗粮,维生素A"
紫薯,主食,82,2,4,8,5,0,1,秋季,"粗粮,花青素"
玉米,主食,112,3,3,6,6,1,1,夏季,"粗粮,甜"
小米,主食,361,5,3,5,1,1,1,四季,"粗粮,养胃"
藜麦,主食,368,8,7,7,1,1,1,四季,"超级食物,高蛋白"
荞麦面,主食,340,6,4,5,1,1,3,四季,"粗粮,低GI"
意大利面,主食,350,5,2,3,1,1,1,四季,主食
馒头,主食,220,4,1,2,2,0,1,四季,传统主食
包子（肉馅）,主食,280,7,1,3,2,4,4,四季,传统小吃
饺子（猪肉白菜）,主食,250,6,1,3,1,3,4,冬季,传统美食
馄饨,主食,220,5,1,3,1,2,5,四季,小吃
炒饭,主食,180,4,1,3,1,3,4,四季,家常菜
蛋炒饭,主食,200,5,1,4,1,4,4,四季,家常菜
土豆泥,主食,120,2,2,5,2,2,2,四季,西式
山药,主食,56,2,2,6,1,0,1,秋季,"滋补,养胃"
芋头,主食,79,2,2,5,1,0,1,秋季,粗粮
鸡胸肉,蛋白质,165,9,0,5,0,1,2,四季,"高蛋白,低脂"
鸡腿肉,蛋白质,200,8,0,5,0,4,2,四季,高蛋白
鸡翅,蛋白质,220,7,0,4,0,6,3,四季,
鸭肉,蛋白质,240,7,0,5,0,7,4,秋季,滋阴
三文鱼,蛋白质,208,8,0,8,0,3,3,四季,"Omega-3,深海鱼"
鳕鱼,蛋白质,82,7,0,6,0,1,3,四季,"低脂,深海鱼"
鲈鱼,蛋白质,105,8,0,6,0,2,3,四季,淡水鱼
带鱼,蛋白质,127,7,0,5,0,3,4,四季,海鱼
虾,蛋白质,85,9,0,6,0,1,4,四季,"高蛋白,低脂"
蟹,蛋白质,103,8,0,7,0,1,5,秋季,鲜美
扇贝,蛋白质,88,7,0,6,0,1,4,四季,海鲜
牛肉,蛋白质,250,9,0,6,0,5,3,四季,"高蛋白,铁质"
牛排,蛋白质,280,8,0,6,0,7,3,四季,西餐
羊肉,蛋白质,230,7,0,6,0,6,4,冬季,温补
猪肉（瘦）,蛋白质,143,8,0,5,0,2,2,四季,瘦肉
五花肉,蛋白质,350,4,0,4,0,8,3,四季,高脂肪
排骨,蛋白质,280,6,0,5,0,6,3,四季,
火腿,蛋白质,200,6,0,4,2,4,8,四季,加工肉
培根,蛋白质,450,5,0,3,1,8,9,四季,加工肉
鸡蛋,蛋白质,155,8,0,6,1,3,2,四季,优质蛋白
鸭蛋,蛋白质,180,7,0,6,1,4,3,四季,
鹌鹑蛋,蛋白质,160,8,0,6,1,3,2,四季,
豆腐,蛋白质,76,6,1,5,1,1,1,四季,"素食,低脂"
豆腐干,蛋白质,140,7,1,5,1,2,4,四季,素食
腐竹,蛋白质,460,8,1,5,1,4,2,四季,素食
豆浆,蛋白质,30,4,1,5,2,1,1,四季,植物蛋白
牛奶,蛋白质,42,5,0,6,5,2,2,四季,钙质
酸奶,蛋白质,60,5,0,6,6,2,2,四季,益生菌
奶酪,蛋白质,320,8,0,6,1,7,6,四季,高钙
扁豆,蛋白质,120,5,4,5,2,0,1,夏季,豆类
鹰嘴豆,蛋白质,139,5,4,5,2,1,1,四季,超级食物
毛豆,蛋白质,131,6,4,6,2,1,1,夏季,豆类
西兰花,蔬菜,34,4,4,9,1,0,2,四季,"高纤维,维生素C"
菠菜,蔬菜,23,3,3,8,1,0,2,春季,"补铁,维生素K"
羽衣甘蓝,蔬菜,49,4,4,9,1,0,2,四季,超级蔬菜
生菜,蔬菜,15,1,1,5,1,0,1,四季,沙拉
白菜,蔬菜,13,1,1,5,1,0,1,冬季,家常
娃娃菜,蔬菜,12,1,1,5,1,0,1,四季,
油菜,蔬菜,15,2,2,6,1,0,2,春季,钙质
空心菜,蔬菜,20,2,2,6,1,0,2,夏季,
茼蒿,蔬菜,21,2,2,6,1,0,2,冬季,
芹菜,蔬菜,14,1,2,5,1,0,4,四季,高纤维
